pid,Price,tid,Sale_Year,Home_Size,Parcel_Size,Beds,Age,Pool_Val,CBD_DIST,X_Coordinate,Y_Coordinate
1,65.702,2028,2005,1172,6747,3,35,0,17697.55,491555.0,1569831.0
3,199.964,9665,2003,3069,9536,4,0,0,21123.63,544537.8,1462453.0
6,343.691,3842,2001,3866,11561,6,0,1,20972.43,511038.8,1466512.0
8,314.191,8853,2004,3501,11647,5,5,1,20343.17,601385.8,1525732.0
9,136.108,4063,2000,891,9965,2,20,1,3374.19,543718.5,1537711.0
11,217.261,8191,2005,1782,13916,4,24,1,16971.98,491913.9,1495597.0
14,105.556,9810,2004,1356,5475,3,12,0,21542.71,490668.1,1586306.0
15,93.504,9768,2001,1323,6027,3,10,0,9249.69,504662.8,1527765.0
16,109.087,1411,2000,1372,11165,3,31,0,4005.48,537368.6,1543997.0
18,204.245,174,2004,1701,5658,4,0,0,23239.38,610573.3,1522090.0
21,105.293,2197,2001,1543,4499,3,14,0,12014.65,573818.3,1537035.0
24,85.561,9254,2001,1279,15179,3,48,0,16749.73,501294.3,1574629.0
26,168.336,2566,2003,1850,10020,3,4,1,18209.28,593856.0,1521707.0
28,77.229,285,2002,1319,16026,3,40,0,7166.4,557245.7,1538239.0
31,333.139,4837,2002,3585,15741,5,0,1,14821.24,486523.7,1525442.0
32,226.548,418,2004,2835,9013,4,0,0,14745.48,492619.0,1554755.0
33,78.877,3706,2001,888,8010,3,39,0,16480.8,500204.1,1572646.0
34,156.274,8728,2003,1507,4261,3,0,0,22591.94,608508.9,1522735.0
36,273.777,52,2002,2821,10309,4,0,0,20897.89,512148.7,1466373.0
37,128.053,9299,2004,1490,12820,3,14,0,24478.92,454619.6,1535521.0
38,131.775,8463,2003,1776,26535,4,33,0,13413.26,577679.8,1541170.0
40,113.026,9075,2001,1685,6870,3,22,0,16400.78,522186.8,1478778.0
42,146.326,8183,2001,1682,8268,4,7,0,17395.33,527848.4,1474436.0
43,1006.128,9949,2004,4729,17025,4,4,1,17138.11,496860.7,1489606.0
45,89.694,2182,2001,1164,5748,3,11,1,16870.85,527289.6,1476243.0
47,129.4,4540,2000,1729,7155,3,8,0,15887.65,505258.0,1574039.0
49,213.893,7323,2004,2947,5047,4,6,0,14509.62,580233.0,1516717.0
51,105.028,9743,2003,1626,8843,4,32,0,9343.09,516991.0,1506162.0
52,114.271,4187,2004,1432,8257,3,28,0,8462.86,513476.0,1548851.0
53,197.601,4482,2004,2400,8790,3,0,0,22569.56,461856.6,1518464.0
54,73.309,8897,2003,1008,6863,3,18,0,18229.72,482365.6,1559844.0
55,232.456,9503,2004,2376,10492,4,14,0,20842.13,599025.3,1554735.0
56,142.107,6877,2005,1672,10498,3,20,0,20908.47,466740.7,1539569.0
57,127.985,1979,2002,1480,7094,3,11,0,15995.31,505328.3,1574515.0
59,102.73,4677,2000,1034,13479,2,52,0,3008.07,544290.1,1528253.0
60,141.908,5625,2002,1793,8623,3,7,0,13557.86,490980.4,1538619.0
61,1005.953,7395,2001,6252,26159,4,9,1,16847.24,490369.6,1498236.0
63,328.065,8717,2001,3388,11992,4,0,1,18333.47,507932.0,1584921.0
64,273.113,5407,2005,2894,5500,4,2,0,21473.19,605046.0,1524998.0
65,193.659,8886,2004,2838,6092,4,1,0,17123.26,525740.1,1475641.0
67,90.567,5723,2000,1119,8291,3,25,0,6521.01,549163.1,1515199.0
69,472.655,1211,2003,3854,16221,4,0,1,16636.4,480973.8,1522155.0
70,175.807,2474,2003,1996,5492,4,0,0,22095.11,603762.6,1553628.0
72,197.558,9366,2002,1473,10800,2,53,0,4093.62,538529.2,1544015.0
73,342.704,6374,2002,2320,11652,3,27,1,7124.72,550021.6,1548879.0
74,154.849,3720,2000,1697,5750,4,0,0,21058.31,603539.1,1523583.0
75,113.689,4356,2001,1484,9822,3,3,1,8259.51,525539.6,1556561.0
77,147.884,3436,2004,1820,11110,5,19,0,9187.68,564483.9,1536599.0
78,442.349,7824,2004,3688,21785,4,14,1,13886.18,491077.2,1518366.0
79,205.799,7668,2004,1992,12440,5,49,0,8653.89,539809.8,1503135.0
82,271.089,5822,2003,2965,7499,3,0,1,15708.93,585022.9,1519293.0
84,113.037,3726,2003,1350,7315,3,19,1,9782.41,531902.4,1499127.0
85,93.496,3229,2001,1248,6386,3,0,0,7119.35,511485.3,1531916.0
86,117.285,1398,2004,1176,8113,3,44,1,8026.64,538809.6,1505056.0
87,366.929,9050,2000,3661,6526,5,10,1,1296.29,539043.6,1530466.0
90,82.261,1325,2000,1108,16395,3,33,0,11071.22,520684.9,1564564.0
91,140.513,9346,2003,1503,5859,3,2,0,14254.38,581458.1,1527226.0
92,91.431,2246,2005,1059,7236,2,21,0,21190.96,490040.1,1584297.0
93,73.97,813,2000,1096,1800,2,12,0,15526.23,522759.7,1481593.0
97,130.035,1346,2003,1718,7627,3,0,0,6560.04,535627.5,1509582.0
98,132.979,6311,2002,1578,9200,3,16,0,13090.55,492183.4,1536246.0
100,171.619,5580,2000,2340,5167,4,2,1,9668.89,526498.3,1561715.0
101,258.931,5238,2003,2579,18526,4,4,1,25898.39,489158.2,1602777.0
102,40.313,7990,2002,1048,7836,2,43,0,15269.76,486951.9,1545881.0
104,121.059,8540,2000,1769,7585,4,2,0,11361.66,498387.4,1539004.0
105,145.61,8096,2000,1832,9281,3,15,1,12795.99,492996.6,1534714.0
106,191.741,5507,2004,2361,6763,4,0,0,21643.43,466357.1,1512223.0
107,95.763,9819,2002,1070,6819,2,23,0,16145.28,511037.6,1483755.0
108,86.786,2754,2002,912,7498,3,42,0,8754.8,562100.3,1522028.0
109,518.804,6778,2004,5294,20553,6,14,1,20656.47,522391.8,1464456.0
111,121.439,3885,2003,1310,4523,3,6,0,9928.27,564339.3,1517277.0
113,170.124,4381,2003,1895,5498,4,0,0,21579.06,605327.8,1524268.0
114,146.57,8172,2001,1457,4401,3,0,1,19051.95,544529.9,1469326.0
115,161.25,7410,2002,1125,8140,2,32,0,2877.78,543434.6,1535006.0
116,108.312,4369,2004,1595,10629,3,18,0,18864.22,538319.8,1469284.0
117,290.317,772,2003,3486,15151,4,0,0,11998.25,573360.3,1522942.0
118,93.055,8184,2000,1827,9424,6,31,0,14818.47,583254.0,1535676.0
121,123.672,3685,2001,1675,5049,3,2,0,14537.51,580070.4,1515923.0
123,142.087,3363,2002,1760,3802,3,0,0,16325.33,505256.4,1575770.0
124,114.108,6916,2003,1330,10019,3,44,0,6959.85,557495.1,1528210.0
125,159.457,5616,2002,2127,4611,3,0,1,23435.08,458841.6,1519230.0
126,96.384,9126,2000,864,7011,2,4,0,3098.29,545003.8,1530948.0
127,146.24,9606,2001,1815,9910,3,11,0,2102.7,539991.3,1526510.0
129,203.403,8559,2004,1618,8452,4,19,0,8241.34,554709.3,1549446.0
130,148.541,7051,2004,1732,8046,4,0,0,12752.72,498884.0,1552529.0
131,89.282,5040,2003,1066,7383,3,21,0,15276.96,487663.8,1548086.0
132,166.824,6253,2003,1662,13978,3,9,0,18805.54,596520.9,1529036.0
133,99.625,4592,2003,966,3948,2,11,0,11683.21,572522.4,1538169.0
134,77.608,1222,2001,1036,2896,2,10,0,18825.97,539281.4,1469472.0
